year,title,difficulty
2020,"Sharp v. Murphy"
2021,"United States v. Cooley"
2022,"Oklahoma v. Castro-Huerta"
1977,"National Socialist Party of America v. Village of Skokie",-1
1915,"Mutual Film Corp. v. Industrial Commission of Ohio"
1919,"Schenck v. United States"
1925,"Gitlow v. New York"
1931,"Stromberg v. California"
1931,"Near v. Minnesota"
1938,"New Negro Alliance v. Sanitary Grocery Co."
1942,"Chaplinsky v. New Hampshire"
1952,"Joseph Burstyn, Inc. v. Wilson"
1957,"Roth v. United States"
1958,"One, Inc. v. Olesen"
1962,"Manual Enterprises, Inc. v. Day"
1964,"New York Times Co. v. Sullivan",-1
1965,"Dombrowski v. Pfister"
1967,"Curtis Publishing Co. v. Butts"
1968,"United States v. O'Brien"
1968,"Pickering v. Board of Education"
1969,"Tinker v. Des Moines Independent Community School District"
1969,"Brandenburg v. Ohio"
1971,"Cohen v. California"
1971,"New York Times Co. v. United States"
1972,"Branzburg v. Hayes"
1973,"Miller v. California"
1974,"Gertz v. Robert Welch, Inc."
1976,"Buckley v. Valeo"
1976,"Virginia State Pharmacy Board v. Virginia Citizens Consumer Council"
1978,"Federal Communications Commission v. Pacifica Foundation"
1980,"Central Hudson Gas & Electric Corp. v. Public Service Commission"
1982,"NAACP v. Claiborne Hardware Co."
1982,"New York v. Ferber"
1983,"Connick v. Myers"
1986,"Posadas de Puerto Rico Associates v. Tourism Co. of Puerto Rico"
1986,"Bethel School District v. Fraser"
1988,"Hazelwood v. Kuhlmeier"
1988,"Hustler Magazine v. Falwell"
1989,"Texas v. Johnson"
1991,"Barnes v. Glen Theatre, Inc."
1997,"Reno v. American Civil Liberties Union"
2003,"Virginia v. Black"
2006,"Garcetti v. Ceballos"
2008,"Davis v. Federal Election Commission"
2010,"Citizens United v. Federal Election Commission"
2011,"Snyder v. Phelps"
2011,"Brown v. Entertainment Merchants Association"
2014,"McCutcheon v. Federal Election Commission"
2018,"Minnesota Voters Alliance v. Mansky"
2018,"Janus v. AFSCME"
1879,"Reynolds v. United States"
1890,"Davis v. Beason"
1940,"Cantwell v. Connecticut"
1940,"Minersville School District v. Gobitis"
1943,"Murdock v. Pennsylvania"
1943,"West Virginia State Board of Education v. Barnette"
1946,"Marsh v. Alabama"
1947,"Everson v. Board of Education"
1948,"McCollum v. Board of Education"
1961,"Braunfeld v. Brown"
1962,"Engel v. Vitale"
1963,"Abington School District v. Schempp"
1968,"Flast v. Cohen"
1968,"Epperson v. Arkansas"
1971,"Lemon v. Kurtzman"
1972,"Wisconsin v. Yoder"
1983,"Marsh v. Chambers"
1987,"Edwards v. Aguillard"
1987,"Corporation of Presiding Bishop of Church of Jesus Christ of Latter-day Saints v. Amos"
1990,"Employment Division v. Smith"
1992,"Lee v. Weisman"
1993,"Church of Lukumi Babalu Aye v. City of Hialeah"
1995,"Rosenberger v. University of Virginia"
1997,"Agostini v. Felton"
2000,"Santa Fe Independent School District v. Doe"
2002,"Zelman v. Simmons-Harris"
2012,"Hosanna-Tabor Evangelical Lutheran Church and School v. Equal Employment Opportunity Commission"
2014,"Town of Greece v. Galloway"
2014,"Burwell v. Hobby Lobby Stores, Inc."
2018,"Masterpiece Cakeshop v. Colorado Civil Rights Commission",-1
2019,"American Legion v. American Humanist Association"
2020,"Espinoza v. Montana Department of Revenue"
2021,"Fulton v. City of Philadelphia"
2022,"Carson v. Makin"
2022,"Kennedy v. Bremerton School District"
1958,"National Association for the Advancement of Colored People v. Alabama"
1995,"Hurley v. Irish-American Gay, Lesbian, and Bisexual Group of Boston"
2000,"Boy Scouts of America v. Dale"
1963,"Edwards v. South Carolina"
1972,"California Motor Transport Co. v. Trucking Unlimited"
1876,"United States v. Cruikshank"
